503,204,0
795,185,0
42,403,0
327,740,0
285,98,0
279,11,0
496,588,0
499,266,0
357,126,0
932,182,0
821,430,0
215,256,0
667,309,0
0,113,0
881,930,0
94,384,0
395,404,0
681,292,0
467,213,0
536,425,0
248,175,0
177,130,0
541,788,0
751,688,0
60,676,0
196,209,0
150,423,0
692,289,0
846,94,0
333,503,0
882,29,0
248,49,0
150,229,0
845,1,0
345,710,0
3,269,0
150,937,0
541,583,0
10,289,0
416,418,0
284,284,0
902,407,0
406,272,0
454,196,0
347,106,0
895,468,0
467,473,0
108,177,0
552,659,0
275,352,0
787,0,0
483,649,0
620,582,0
552,21,0
188,845,0
591,461,0
84,270,0
771,877,0
406,188,0
781,257,0
591,290,0
565,135,0
561,193,0
296,96,0
454,192,0
327,299,0
427,986,0
330,733,0
405,785,0
150,626,0
101,749,0
179,152,0
55,231,0
567,1123,0
786,244,0
912,287,0
553,864,0
24,966,0
758,589,0
935,453,0
503,771,0
587,97,0
310,49,0
770,113,0
151,142,0
446,735,0
532,818,0
199,399,0
565,386,0
232,192,0
398,1040,0
346,316,0
0,167,0
57,509,0
150,1037,0
294,160,0
304,790,0
665,47,0
673,287,0
505,878,0
891,80,0
726,143,0
898,95,0
859,272,0
416,382,0
609,286,0
916,120,0
906,1117,0
415,72,0
877,136,0
639,768,0
388,132,0
496,1553,0
416,173,0
832,261,0
428,533,0
534,486,0
471,390,0
659,1137,0
279,417,0
188,1019,0
478,201,0
221,1009,0
84,480,0
746,724,0
478,197,0
560,700,0
696,234,0
938,117,0
757,251,0
681,187,0
513,23,0
408,287,0
672,326,0
663,511,0
797,354,0
46,302,0
271,200,0
507,175,0
879,139,0
746,460,0
591,330,0
575,469,0
45,49,0
480,152,0
405,488,0
480,206,0
116,929,0
270,862,0
451,779,0
494,614,0
404,21,0
842,73,0
808,313,0
505,171,0
191,946,0
557,281,0
896,167,0
444,877,0
174,627,0
392,1072,0
415,252,0
647,192,0
714,230,0
762,229,0
300,418,0
17,390,0
553,8,0
514,685,0
353,601,0
925,267,0
225,478,0
210,526,0
646,135,0
424,1414,0
891,766,0
484,750,0
458,284,0
811,298,0
773,185,0
183,299,0
873,746,0
598,1012,0
477,95,0
286,344,0
533,1052,0
560,377,0
417,331,0
858,110,0
390,326,0
547,280,0
292,378,0
517,125,0
285,283,0
825,182,0
746,7,0
559,249,0
127,1037,0
644,746,0
918,22,0
663,316,0
310,135,0
251,123,0
863,539,0
15,937,0
194,326,0
296,750,0
506,256,0
794,149,0
893,902,0
351,566,0
55,70,0
148,336,0
488,356,0
775,605,0
618,256,0
588,305,0
715,443,0
523,659,0
607,505,0
157,19,0
351,99,0
275,195,0
307,171,0
746,1244,0
150,257,0
206,271,0
169,258,0
841,267,0
884,449,0
733,311,0
129,217,0
57,222,0
895,273,0
274,68,0
114,1071,0
